C?digo postal;Estado;;;;
20270;Aguascalientes;;;;
20270;Aguascalientes;;;;
20270;Aguascalientes;;;;
20270;Aguascalientes;;;;
20270;Aguascalientes;;;;
20270;Aguascalientes;;;;
20270;Aguascalientes;;;;
20276;Aguascalientes;;;;
20276;Aguascalientes;;;;
20277;Aguascalientes;;;;
20277;Aguascalientes;;;;
20277;Aguascalientes;;;;
20278;Aguascalientes;;;;
20278;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20280;Aguascalientes;;;;
20283;Aguascalientes;;;;
20283;Aguascalientes;;;;
20284;Aguascalientes;;;;
20284;Aguascalientes;;;;
20284;Aguascalientes;;;;
20284;Aguascalientes;;;;
20284;Aguascalientes;;;;
20284;Aguascalientes;;;;
20285;Aguascalientes;;;;
20285;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20286;Aguascalientes;;;;
20287;Aguascalientes;;;;
20288;Aguascalientes;;;;
20288;Aguascalientes;;;;
20289;Aguascalientes;;;;
20290;Aguascalientes;;;;
20290;Aguascalientes;;;;
20290;Aguascalientes;;;;
20290;Aguascalientes;;;;
20291;Aguascalientes;;;;
20296;Aguascalientes;;;;
20296;Aguascalientes;;;;
20296;Aguascalientes;;;;
20296;Aguascalientes;;;;
20296;Aguascalientes;;;;
20297;Aguascalientes;;;;
20297;Aguascalientes;;;;
20297;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20298;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20299;Aguascalientes;;;;
20300;Aguascalientes;;;;
20300;Aguascalientes;;;;
20300;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
